,cultivar,Z1,Z2
663,C346,1.9155536,0.25470018
664,C346,1.8928267,0.44878626
665,C346,1.4552629,0.65546584
666,C346,1.6870679,0.74908787
667,C346,1.1009645,0.65997016
668,C346,0.7817986,0.95130765
669,C346,1.1763896,0.81696594
670,C346,0.5850719,0.98699754
671,C346,1.5201515,0.33536682
672,C346,0.88685524,0.85046095
673,C346,1.203394,0.7120407
674,C346,2.135356,0.29506204
675,C346,1.8818606,0.73021954
676,C346,1.2428349,0.6798218
677,C346,2.0941918,0.61323696
678,C346,2.321655,-0.005962413
679,C346,1.3406725,0.62423545
680,C346,1.9674424,0.6161779
681,C346,1.6525027,1.1582611
682,C346,1.3372389,1.1709168
683,C346,2.7390094,0.34990007
684,C346,1.554281,0.0074560456
685,C346,1.5281737,0.3762277
686,C346,1.724374,0.6987607
687,C346,1.2112612,0.55180216
688,C346,2.38457,0.3817017
689,C346,1.5295225,0.6610879
690,C346,1.3287467,-0.004924357
691,C346,1.812256,0.975151
692,C346,2.495965,-0.12297763
693,C346,2.145662,-0.32630807
694,C346,2.9461048,0.39280847
695,C346,2.0359457,0.8263354
696,C346,2.1215942,0.19823185
697,C346,1.847143,0.2924781
698,C346,2.4725637,-0.8037253
699,C346,1.6564134,0.043953154
700,C346,0.50748134,0.9022455
701,C346,0.5217676,0.95153993
702,C346,0.39248866,0.6594608
703,C346,0.82437205,0.72110975
704,C346,1.3323677,0.73317474
705,C346,0.6758376,0.89013386
706,C346,0.43205872,0.83938223
707,C346,0.7238317,0.9689535
708,C346,0.52586687,0.6481559
709,C346,0.84097785,0.742019
710,C346,1.2819356,0.5553643
711,C346,1.5725766,0.6404414
712,C346,1.6279936,0.12206008
713,C346,1.1702256,0.5099237
714,C346,1.6182848,0.0175266
715,C346,0.48680636,0.8914828
716,C346,1.5541178,0.021969467
717,C346,2.189735,0.5690319
718,C346,0.5299384,0.92345697
719,C346,1.5752603,0.19579878
720,C346,0.7224941,0.8510533
721,C346,1.6507596,0.05789952
722,C346,1.6089938,0.6240382
723,C346,1.8520799,0.7463357
724,C346,1.8306571,0.30251396
725,C346,1.7303526,0.45675793
726,C346,1.3568082,0.60594064
727,C346,0.6177091,0.8947083
728,C346,1.6728333,0.55595315
729,C346,1.0154276,0.71830976
730,C346,2.400702,0.58957654
731,C346,2.2031326,-0.14024585
732,C346,1.4750267,0.22684711
733,C346,1.7483655,0.57829833
734,C346,1.6666826,0.4566132
735,C346,1.4995774,0.66837716
736,C346,1.6038479,0.6616888
737,C346,2.000955,-0.44109708
738,C346,1.8068362,-0.03602708
739,C346,2.1790285,0.548128
740,C346,2.2136493,0.5368214
741,C346,2.8217013,-0.5851867
742,C346,2.2755759,-0.45780087
743,C346,2.9990518,-0.97706205
744,C346,3.3128402,-1.1954722
745,C346,0.60643244,0.88107896
746,C346,1.5830153,0.23142086
747,C346,1.8632638,0.12459676
748,C346,3.1880484,0.119464986
749,C346,2.8810039,0.20532799
750,C346,1.0367516,0.7261409
751,C346,0.88212913,0.8028133
752,C346,0.9262155,0.70890313
753,C346,1.370426,0.713732
754,C346,0.9808407,0.858758
755,C346,1.434587,0.25556856
756,C346,1.5700338,0.1661079
757,C346,0.49602234,0.8715812
758,C346,0.56304294,0.9283309
759,C346,1.630276,0.6459468
760,C346,1.6013393,0.22234586
761,C346,1.4155084,0.56809837
762,C346,0.63893056,0.9387558
763,C346,1.8073574,0.690608
764,C346,1.6206614,0.30987862
765,C346,0.5887492,0.91267157
766,C346,1.8121307,0.30663723
767,C346,1.3376125,0.22232853
768,C346,1.4709619,0.68707377
769,C346,1.7516407,0.17452231
770,C346,0.9742713,0.6650437
771,C346,0.85246736,0.750114
772,C346,1.285497,0.5765265
773,C346,0.68688595,0.89664733
774,C346,1.4109757,0.6280834
775,C346,1.4683938,0.8421384
776,C346,0.86691964,0.9734379
777,C346,0.67011833,0.8757762
778,C346,1.948751,0.820307
779,C346,2.0605686,0.466515
780,C346,1.5074853,0.66882074
781,C346,1.0257641,0.441214
782,C346,1.7012019,0.12394144
783,C346,2.272807,-0.06650789
784,C346,1.0546733,0.744296
785,C346,0.7656096,0.7307017
786,C346,2.2860043,0.1017882
787,C346,1.5441133,0.55067885
788,C346,2.0581539,-0.3514964
789,C346,2.054802,0.47051045
790,C346,1.7891638,0.6916499
791,C346,1.7275786,0.95218235
792,C346,1.892246,-0.025558867
793,C346,1.7799107,0.68588805
794,C346,2.1399274,0.66629833
795,C346,2.0503182,0.6216788
796,C346,2.0138426,0.48794758
